"表章項目","都道府県","/時間軸(年次)","2021年","2020年","2019年","2018年","2017年","2016年","2015年","2014年","2013年","2010年","2005年","2000年","1995年","1990年","1985年","1980年","1975年","1970年","1965年","1960年","1955年","1950年","1947年","1935年"
"出生数【人】","全国","","811,622","840,835","865,239","918,400","946,146","977,242","1,005,721","1,003,609","1,029,817","1,071,305","1,062,530","1,190,547","1,187,064","1,221,585","1,431,577","1,576,889","1,901,440","1,934,239","1,823,697","1,606,041","1,730,692","2,337,507","2,678,792","2,190,704"
"出生数【人】","北海道","","28,762","29,523","31,020","32,642","34,058","35,129","36,696","37,058","38,190","40,158","41,420","46,780","49,950","54,428","66,413","75,526","89,631","91,867","96,666","93,852","103,678","147,055","141,577","109,941"
"出生数【人】","青森県","","6,513","6,837","7,170","7,803","8,035","8,626","8,621","8,853","9,126","9,712","10,524","12,920","13,972","14,635","19,095","21,761","24,031","26,369","28,204","29,881","35,219","46,137","48,997","41,046"
"出生数【人】","岩手県","","6,472","6,718","6,974","7,615","8,175","8,342","8,814","8,803","9,231","9,745","10,545","12,410","13,021","14,254","17,232","19,638","22,182","22,077","24,629","27,827","34,704","45,664","46,083","40,429"
"出生数【人】","宮城県","","13,761","14,480","14,947","16,211","16,681","17,399","18,023","18,069","18,949","19,126","19,326","22,154","22,267","23,324","28,025","31,129","32,760","30,428","29,240","31,363","38,509","53,224","55,512","45,039"
"出生数【人】","秋田県","","4,335","4,499","4,696","5,040","5,396","5,666","5,861","5,998","6,177","6,688","7,697","9,007","9,995","10,992","13,663","16,324","17,499","17,754","19,872","23,553","30,401","42,659","47,838","41,722"
"出生数【人】","山形県","","5,898","6,217","6,401","6,973","7,259","7,547","7,831","7,966","8,159","8,651","9,357","10,919","11,507","12,555","14,893","16,871","17,226","17,222","18,864","22,288","27,311","40,694","43,941","41,073"
"出生数【人】","福島県","","10,649","11,215","11,552","12,495","13,219","13,745","14,195","14,518","14,546","16,126","17,538","20,332","21,306","22,721","27,305","29,504","31,287","29,952","32,807","39,239","48,949","67,562","71,232","56,059"
"出生数【人】","茨城県","","16,502","17,389","18,004","19,368","20,431","20,878","21,700","21,932","22,358","23,989","24,244","28,220","28,234","28,784","33,479","36,369","40,466","38,597","35,460","35,664","44,592","59,723","69,164","53,532"
"出生数【人】","栃木県","","11,475","11,808","12,608","13,495","14,029","14,621","15,306","15,442","15,588","16,473","17,363","18,976","18,662","19,995","23,842","25,928","29,673","27,535","25,739","26,066","33,428","46,804","54,870","41,799"
